run_id,ts_ms,event_type,frame_id,participant_id,lighting,background,distance_m,gesture_true,gesture_pred,confidence,stable_ms,threshold,command_sent,command_block_reason,drone_state,battery_pct,height_cm,command_ts_ms,ack_ts_ms,drone_motion_ts_ms,e2e_latency_ms,notes
20260210_130059,1770750083716,frame,0,P1,normal,clean,0.5,,none,0.0,0,0.8,none,none,,,,,,,,
20260210_130059,1770750084264,frame,1,P1,normal,clean,0.5,,none,0.0,548,0.8,none,none,,,,,,,,
20260210_130059,1770750084276,frame,2,P1,normal,clean,0.5,,none,0.0,560,0.8,none,none,,,,,,,,
20260210_130059,1770750084288,frame,3,P1,normal,clean,0.5,,none,0.0,572,0.8,none,none,,,,,,,,
20260210_130059,1770750084303,frame,4,P1,normal,clean,0.5,,none,0.0,587,0.8,none,none,,,,,,,,
20260210_130059,1770750084317,frame,5,P1,normal,clean,0.5,,none,0.0,601,0.8,none,none,,,,,,,,
20260210_130059,1770750084333,frame,6,P1,normal,clean,0.5,,none,0.0,617,0.8,none,none,,,,,,,,
20260210_130059,1770750084344,frame,7,P1,normal,clean,0.5,,none,0.0,628,0.8,none,none,,,,,,,,
20260210_130059,1770750084375,frame,8,P1,normal,clean,0.5,,none,0.0,659,0.8,none,none,,,,,,,,
20260210_130059,1770750084414,frame,9,P1,normal,clean,0.5,,none,0.0,698,0.8,none,none,,,,,,,,
20260210_130059,1770750084440,frame,10,P1,normal,clean,0.5,,none,0.0,724,0.8,none,none,,,,,,,,
20260210_130059,1770750084471,frame,11,P1,normal,clean,0.5,,none,0.0,755,0.8,none,none,,,,,,,,
20260210_130059,1770750084504,frame,12,P1,normal,clean,0.5,,none,0.0,788,0.8,none,none,,,,,,,,
20260210_130059,1770750084535,frame,13,P1,normal,clean,0.5,,none,0.0,819,0.8,none,none,,,,,,,,
20260210_130059,1770750084568,frame,14,P1,normal,clean,0.5,,none,0.0,852,0.8,none,none,,,,,,,,
20260210_130059,1770750084598,frame,15,P1,normal,clean,0.5,,none,0.0,882,0.8,none,none,,,,,,,,
20260210_130059,1770750084648,frame,16,P1,normal,clean,0.5,,none,0.0,932,0.8,none,none,,,,,,,,
20260210_130059,1770750084682,frame,17,P1,normal,clean,0.5,,none,0.0,966,0.8,none,none,,,,,,,,
20260210_130059,1770750084718,frame,18,P1,normal,clean,0.5,,none,0.0,1002,0.8,none,none,,,,,,,,
20260210_130059,1770750084748,frame,19,P1,normal,clean,0.5,,none,0.0,1032,0.8,none,none,,,,,,,,
20260210_130059,1770750084781,frame,20,P1,normal,clean,0.5,,none,0.0,1065,0.8,none,none,,,,,,,,
20260210_130059,1770750084808,frame,21,P1,normal,clean,0.5,,none,0.0,1092,0.8,none,none,,,,,,,,
20260210_130059,1770750084842,frame,22,P1,normal,clean,0.5,,none,0.0,1126,0.8,none,none,,,,,,,,
20260210_130059,1770750084871,frame,23,P1,normal,clean,0.5,,none,0.0,1155,0.8,none,none,,,,,,,,
20260210_130059,1770750084907,frame,24,P1,normal,clean,0.5,,none,0.0,1191,0.8,none,none,,,,,,,,
20260210_130059,1770750084938,frame,25,P1,normal,clean,0.5,,none,0.0,1222,0.8,none,none,,,,,,,,
20260210_130059,1770750084970,frame,26,P1,normal,clean,0.5,,none,0.0,1254,0.8,none,none,,,,,,,,
20260210_130059,1770750085004,frame,27,P1,normal,clean,0.5,,none,0.0,1288,0.8,none,none,,,,,,,,
20260210_130059,1770750085050,frame,28,P1,normal,clean,0.5,,none,0.0,1334,0.8,none,none,,,,,,,,
20260210_130059,1770750085083,frame,29,P1,normal,clean,0.5,,none,0.0,1367,0.8,none,none,,,,,,,,
20260210_130059,1770750085111,frame,30,P1,normal,clean,0.5,,none,0.0,1395,0.8,none,none,,,,,,,,
20260210_130059,1770750085144,frame,31,P1,normal,clean,0.5,,none,0.0,1428,0.8,none,none,,,,,,,,
20260210_130059,1770750085174,frame,32,P1,normal,clean,0.5,,none,0.0,1458,0.8,none,none,,,,,,,,
20260210_130059,1770750085206,frame,33,P1,normal,clean,0.5,,none,0.0,1490,0.8,none,none,,,,,,,,
20260210_130059,1770750085238,frame,34,P1,normal,clean,0.5,,none,0.0,1522,0.8,none,none,,,,,,,,
20260210_130059,1770750085271,frame,35,P1,normal,clean,0.5,,none,0.0,1555,0.8,none,none,,,,,,,,
20260210_130059,1770750085302,frame,36,P1,normal,clean,0.5,,none,0.0,1586,0.8,none,none,,,,,,,,
20260210_130059,1770750085337,frame,37,P1,normal,clean,0.5,,none,0.0,1621,0.8,none,none,,,,,,,,
20260210_130059,1770750085368,frame,38,P1,normal,clean,0.5,,none,0.0,1652,0.8,none,none,,,,,,,,
