run_id,ts_ms,event_type,frame_id,participant_id,lighting,background,distance_m,gesture_true,gesture_pred,confidence,stable_ms,threshold,command_sent,command_block_reason,drone_state,battery_pct,height_cm,command_ts_ms,ack_ts_ms,drone_motion_ts_ms,e2e_latency_ms,notes
20260207_011005,1770448214858,frame,0,P1,normal,clean,0.5,,none,0.0,0,0.8,none,none,,,,,,,,
20260207_011005,1770448216032,frame,1,P1,normal,clean,0.5,,none,0.0,1174,0.8,none,none,,,,,,,,
20260207_011005,1770448216057,frame,2,P1,normal,clean,0.5,,none,0.0,1199,0.8,none,none,,,,,,,,
20260207_011005,1770448216079,frame,3,P1,normal,clean,0.5,,none,0.0,1221,0.8,none,none,,,,,,,,
20260207_011005,1770448216110,frame,4,P1,normal,clean,0.5,,none,0.0,1252,0.8,none,none,,,,,,,,
20260207_011005,1770448216141,frame,5,P1,normal,clean,0.5,,none,0.0,1283,0.8,none,none,,,,,,,,
20260207_011005,1770448216169,frame,6,P1,normal,clean,0.5,,none,0.0,1311,0.8,none,none,,,,,,,,
20260207_011005,1770448216215,frame,7,P1,normal,clean,0.5,,none,0.0,1357,0.8,none,none,,,,,,,,
20260207_011005,1770448216245,frame,8,P1,normal,clean,0.5,,none,0.0,1387,0.8,none,none,,,,,,,,
20260207_011005,1770448216277,frame,9,P1,normal,clean,0.5,,none,0.0,1419,0.8,none,none,,,,,,,,
20260207_011005,1770448216308,frame,10,P1,normal,clean,0.5,,none,0.0,1450,0.8,none,none,,,,,,,,
20260207_011005,1770448216353,frame,11,P1,normal,clean,0.5,,none,0.0,1495,0.8,none,none,,,,,,,,
20260207_011005,1770448216383,frame,12,P1,normal,clean,0.5,,none,0.0,1525,0.8,none,none,,,,,,,,
20260207_011005,1770448216414,frame,13,P1,normal,clean,0.5,,none,0.0,1556,0.8,none,none,,,,,,,,
20260207_011005,1770448216445,frame,14,P1,normal,clean,0.5,,none,0.0,1587,0.8,none,none,,,,,,,,
20260207_011005,1770448216476,frame,15,P1,normal,clean,0.5,,none,0.0,1618,0.8,none,none,,,,,,,,
20260207_011005,1770448216524,frame,16,P1,normal,clean,0.5,,none,0.0,1666,0.8,none,none,,,,,,,,
20260207_011005,1770448216555,frame,17,P1,normal,clean,0.5,,none,0.0,1697,0.8,none,none,,,,,,,,
20260207_011005,1770448216586,frame,18,P1,normal,clean,0.5,,none,0.0,1728,0.8,none,none,,,,,,,,
20260207_011005,1770448216632,frame,19,P1,normal,clean,0.5,,none,0.0,1774,0.8,none,none,,,,,,,,
20260207_011005,1770448216664,frame,20,P1,normal,clean,0.5,,none,0.0,1806,0.8,none,none,,,,,,,,
20260207_011005,1770448216695,frame,21,P1,normal,clean,0.5,,none,0.0,1837,0.8,none,none,,,,,,,,
20260207_011005,1770448216727,frame,22,P1,normal,clean,0.5,,none,0.0,1869,0.8,none,none,,,,,,,,
20260207_011005,1770448216758,frame,23,P1,normal,clean,0.5,,none,0.0,1900,0.8,none,none,,,,,,,,
20260207_011005,1770448216776,frame,24,P1,normal,clean,0.5,,none,0.0,1918,0.8,none,none,,,,,,,,
20260207_011005,1770448216809,frame,25,P1,normal,clean,0.5,,none,0.0,1951,0.8,none,none,,,,,,,,
20260207_011005,1770448216848,frame,26,P1,normal,clean,0.5,,none,0.0,1990,0.8,none,none,,,,,,,,
20260207_011005,1770448216871,frame,27,P1,normal,clean,0.5,,none,0.0,2013,0.8,none,none,,,,,,,,
20260207_011005,1770448216902,frame,28,P1,normal,clean,0.5,,none,0.0,2044,0.8,none,none,,,,,,,,
20260207_011005,1770448216945,frame,29,P1,normal,clean,0.5,,none,0.0,2087,0.8,none,none,,,,,,,,
20260207_011005,1770448216976,frame,30,P1,normal,clean,0.5,,none,0.0,2118,0.8,none,none,,,,,,,,
