run_id,ts_ms,event_type,frame_id,participant_id,lighting,background,distance_m,gesture_true,gesture_pred,confidence,stable_ms,threshold,command_sent,command_block_reason,drone_state,battery_pct,height_cm,command_ts_ms,ack_ts_ms,drone_motion_ts_ms,e2e_latency_ms,notes
20260207_004437,1770446678010,frame,0,P1,normal,clean,0.5,,none,0.0,0,0.8,none,none,,,,,,,,
20260207_004437,1770446679229,frame,1,P1,normal,clean,0.5,,none,0.0,1219,0.8,none,none,,,,,,,,
20260207_004437,1770446679249,frame,2,P1,normal,clean,0.5,,none,0.0,1239,0.8,none,none,,,,,,,,
20260207_004437,1770446679279,frame,3,P1,normal,clean,0.5,,none,0.0,1269,0.8,none,none,,,,,,,,
20260207_004437,1770446679312,frame,4,P1,normal,clean,0.5,,none,0.0,1302,0.8,none,none,,,,,,,,
20260207_004437,1770446679344,frame,5,P1,normal,clean,0.5,,none,0.0,1334,0.8,none,none,,,,,,,,
20260207_004437,1770446679391,frame,6,P1,normal,clean,0.5,,none,0.0,1381,0.8,none,none,,,,,,,,
20260207_004437,1770446679424,frame,7,P1,normal,clean,0.5,,none,0.0,1414,0.8,none,none,,,,,,,,
20260207_004437,1770446679455,frame,8,P1,normal,clean,0.5,,none,0.0,1445,0.8,none,none,,,,,,,,
20260207_004437,1770446679487,frame,9,P1,normal,clean,0.5,,none,0.0,1477,0.8,none,none,,,,,,,,
20260207_004437,1770446679519,frame,10,P1,normal,clean,0.5,,none,0.0,1509,0.8,none,none,,,,,,,,
20260207_004437,1770446679551,frame,11,P1,normal,clean,0.5,,none,0.0,1541,0.8,none,none,,,,,,,,
20260207_004437,1770446679584,frame,12,P1,normal,clean,0.5,,none,0.0,1574,0.8,none,none,,,,,,,,
20260207_004437,1770446679615,frame,13,P1,normal,clean,0.5,,none,0.0,1605,0.8,none,none,,,,,,,,
20260207_004437,1770446679648,frame,14,P1,normal,clean,0.5,,none,0.0,1638,0.8,none,none,,,,,,,,
20260207_004437,1770446679701,frame,15,P1,normal,clean,0.5,,none,0.0,1691,0.8,none,none,,,,,,,,
20260207_004437,1770446679725,frame,16,P1,normal,clean,0.5,,none,0.0,1715,0.8,none,none,,,,,,,,
20260207_004437,1770446679750,frame,17,P1,normal,clean,0.5,,none,0.0,1740,0.8,none,none,,,,,,,,
20260207_004437,1770446679791,frame,18,P1,normal,clean,0.5,,none,0.0,1781,0.8,none,none,,,,,,,,
20260207_004437,1770446679824,frame,19,P1,normal,clean,0.5,,none,0.0,1814,0.8,none,none,,,,,,,,
20260207_004437,1770446679855,frame,20,P1,normal,clean,0.5,,none,0.0,1845,0.8,none,none,,,,,,,,
20260207_004437,1770446679887,frame,21,P1,normal,clean,0.5,,none,0.0,1877,0.8,none,none,,,,,,,,
20260207_004437,1770446679919,frame,22,P1,normal,clean,0.5,,none,0.0,1909,0.8,none,none,,,,,,,,
20260207_004437,1770446679971,frame,23,P1,normal,clean,0.5,,none,0.0,1961,0.8,none,none,,,,,,,,
20260207_004437,1770446679999,frame,24,P1,normal,clean,0.5,,none,0.0,1989,0.8,none,none,,,,,,,,
20260207_004437,1770446680015,frame,25,P1,normal,clean,0.5,,none,0.0,2005,0.8,none,none,,,,,,,,
20260207_004437,1770446680047,frame,26,P1,normal,clean,0.5,,none,0.0,2037,0.8,none,none,,,,,,,,
20260207_004437,1770446680082,frame,27,P1,normal,clean,0.5,,none,0.0,2072,0.8,none,none,,,,,,,,
20260207_004437,1770446680111,frame,28,P1,normal,clean,0.5,,none,0.0,2101,0.8,none,none,,,,,,,,
20260207_004437,1770446680143,frame,29,P1,normal,clean,0.5,,none,0.0,2133,0.8,none,none,,,,,,,,
20260207_004437,1770446680191,frame,30,P1,normal,clean,0.5,,none,0.0,2181,0.8,none,none,,,,,,,,
20260207_004437,1770446680224,frame,31,P1,normal,clean,0.5,,none,0.0,2214,0.8,none,none,,,,,,,,
20260207_004437,1770446680255,frame,32,P1,normal,clean,0.5,,none,0.0,2245,0.8,none,none,,,,,,,,
20260207_004437,1770446680288,frame,33,P1,normal,clean,0.5,,none,0.0,2278,0.8,none,none,,,,,,,,
20260207_004437,1770446680319,frame,34,P1,normal,clean,0.5,,none,0.0,2309,0.8,none,none,,,,,,,,
20260207_004437,1770446680351,frame,35,P1,normal,clean,0.5,,none,0.0,2341,0.8,none,none,,,,,,,,
20260207_004437,1770446680384,frame,36,P1,normal,clean,0.5,,none,0.0,2374,0.8,none,none,,,,,,,,
20260207_004437,1770446680416,frame,37,P1,normal,clean,0.5,,none,0.0,2406,0.8,none,none,,,,,,,,
20260207_004437,1770446680447,frame,38,P1,normal,clean,0.5,,none,0.0,2437,0.8,none,none,,,,,,,,
20260207_004437,1770446680479,frame,39,P1,normal,clean,0.5,,none,0.0,2469,0.8,none,none,,,,,,,,
20260207_004437,1770446680511,frame,40,P1,normal,clean,0.5,,none,0.0,2501,0.8,none,none,,,,,,,,
20260207_004437,1770446680543,frame,41,P1,normal,clean,0.5,,none,0.0,2533,0.8,none,none,,,,,,,,
20260207_004437,1770446680592,frame,42,P1,normal,clean,0.5,,none,0.0,2582,0.8,none,none,,,,,,,,
20260207_004437,1770446680623,frame,43,P1,normal,clean,0.5,,none,0.0,2613,0.8,none,none,,,,,,,,
20260207_004437,1770446680655,frame,44,P1,normal,clean,0.5,,none,0.0,2645,0.8,none,none,,,,,,,,
20260207_004437,1770446680688,frame,45,P1,normal,clean,0.5,,none,0.0,2678,0.8,none,none,,,,,,,,
20260207_004437,1770446680720,frame,46,P1,normal,clean,0.5,,none,0.0,2710,0.8,none,none,,,,,,,,
20260207_004437,1770446680752,frame,47,P1,normal,clean,0.5,,none,0.0,2742,0.8,none,none,,,,,,,,
20260207_004437,1770446680784,frame,48,P1,normal,clean,0.5,,none,0.0,2774,0.8,none,none,,,,,,,,
20260207_004437,1770446680816,frame,49,P1,normal,clean,0.5,,none,0.0,2806,0.8,none,none,,,,,,,,
20260207_004437,1770446680847,frame,50,P1,normal,clean,0.5,,none,0.0,2837,0.8,none,none,,,,,,,,
20260207_004437,1770446680879,frame,51,P1,normal,clean,0.5,,none,0.0,2869,0.8,none,none,,,,,,,,
20260207_004437,1770446680911,frame,52,P1,normal,clean,0.5,,none,0.0,2901,0.8,none,none,,,,,,,,
20260207_004437,1770446680943,frame,53,P1,normal,clean,0.5,,none,0.0,2933,0.8,none,none,,,,,,,,
20260207_004437,1770446680992,frame,54,P1,normal,clean,0.5,,none,0.0,2982,0.8,none,none,,,,,,,,
20260207_004437,1770446681023,frame,55,P1,normal,clean,0.5,,none,0.0,3013,0.8,none,none,,,,,,,,
