run_id,ts_ms,event_type,frame_id,participant_id,lighting,background,distance_m,gesture_true,gesture_pred,confidence,stable_ms,threshold,command_sent,command_block_reason,drone_state,battery_pct,height_cm,command_ts_ms,ack_ts_ms,drone_motion_ts_ms,e2e_latency_ms,notes
20260207_010334,1770447817985,frame,0,P1,normal,clean,0.5,,none,0.0,0,0.8,none,none,,,,,,,,
20260207_010334,1770447819172,frame,1,P1,normal,clean,0.5,,none,0.0,1187,0.8,none,none,,,,,,,,
20260207_010334,1770447819202,frame,2,P1,normal,clean,0.5,,none,0.0,1217,0.8,none,none,,,,,,,,
20260207_010334,1770447819233,frame,3,P1,normal,clean,0.5,,none,0.0,1248,0.8,none,none,,,,,,,,
20260207_010334,1770447819250,frame,4,P1,normal,clean,0.5,,none,0.0,1265,0.8,none,none,,,,,,,,
20260207_010334,1770447819279,frame,5,P1,normal,clean,0.5,,none,0.0,1294,0.8,none,none,,,,,,,,
20260207_010334,1770447819310,frame,6,P1,normal,clean,0.5,,none,0.0,1325,0.8,none,none,,,,,,,,
20260207_010334,1770447819327,frame,7,P1,normal,clean,0.5,,none,0.0,1342,0.8,none,none,,,,,,,,
20260207_010334,1770447819372,frame,8,P1,normal,clean,0.5,,none,0.0,1387,0.8,none,none,,,,,,,,
20260207_010334,1770447819404,frame,9,P1,normal,clean,0.5,,none,0.0,1419,0.8,none,none,,,,,,,,
20260207_010334,1770447819435,frame,10,P1,normal,clean,0.5,,none,0.0,1450,0.8,none,none,,,,,,,,
20260207_010334,1770447819482,frame,11,P1,normal,clean,0.5,,none,0.0,1497,0.8,none,none,,,,,,,,
20260207_010334,1770447819513,frame,12,P1,normal,clean,0.5,,none,0.0,1528,0.8,none,none,,,,,,,,
20260207_010334,1770447819544,frame,13,P1,normal,clean,0.5,,none,0.0,1559,0.8,none,none,,,,,,,,
20260207_010334,1770447819575,frame,14,P1,normal,clean,0.5,,none,0.0,1590,0.8,none,none,,,,,,,,
20260207_010334,1770447819593,frame,15,P1,normal,clean,0.5,,none,0.0,1608,0.8,none,none,,,,,,,,
20260207_010334,1770447819624,frame,16,P1,normal,clean,0.5,,none,0.0,1639,0.8,none,none,,,,,,,,
20260207_010334,1770447819655,frame,17,P1,normal,clean,0.5,,none,0.0,1670,0.8,none,none,,,,,,,,
20260207_010334,1770447819702,frame,18,P1,normal,clean,0.5,,none,0.0,1717,0.8,none,none,,,,,,,,
20260207_010334,1770447819747,frame,19,P1,normal,clean,0.5,,none,0.0,1762,0.8,none,none,,,,,,,,
20260207_010334,1770447819779,frame,20,P1,normal,clean,0.5,,none,0.0,1794,0.8,none,none,,,,,,,,
20260207_010334,1770447819810,frame,21,P1,normal,clean,0.5,,none,0.0,1825,0.8,none,none,,,,,,,,
20260207_010334,1770447819841,frame,22,P1,normal,clean,0.5,,none,0.0,1856,0.8,none,none,,,,,,,,
20260207_010334,1770447819872,frame,23,P1,normal,clean,0.5,,none,0.0,1887,0.8,none,none,,,,,,,,
20260207_010334,1770447819903,frame,24,P1,normal,clean,0.5,,none,0.0,1918,0.8,none,none,,,,,,,,
20260207_010334,1770447819934,frame,25,P1,normal,clean,0.5,,none,0.0,1949,0.8,none,none,,,,,,,,
20260207_010334,1770447819965,frame,26,P1,normal,clean,0.5,,none,0.0,1980,0.8,none,none,,,,,,,,
20260207_010334,1770447819996,frame,27,P1,normal,clean,0.5,,none,0.0,2011,0.8,none,none,,,,,,,,
20260207_010334,1770447820027,frame,28,P1,normal,clean,0.5,,none,0.0,2042,0.8,none,none,,,,,,,,
20260207_010334,1770447820073,frame,29,P1,normal,clean,0.5,,none,0.0,2088,0.8,none,none,,,,,,,,
20260207_010334,1770447820120,frame,30,P1,normal,clean,0.5,,none,0.0,2135,0.8,none,none,,,,,,,,
20260207_010334,1770447820151,frame,31,P1,normal,clean,0.5,,none,0.0,2166,0.8,none,none,,,,,,,,
20260207_010334,1770447820181,frame,32,P1,normal,clean,0.5,,none,0.0,2196,0.8,none,none,,,,,,,,
20260207_010334,1770447820213,frame,33,P1,normal,clean,0.5,,none,0.0,2228,0.8,none,none,,,,,,,,
20260207_010334,1770447820233,frame,34,P1,normal,clean,0.5,,none,0.0,2248,0.8,none,none,,,,,,,,
20260207_010334,1770447820276,frame,35,P1,normal,clean,0.5,,none,0.0,2291,0.8,none,none,,,,,,,,
20260207_010334,1770447820313,frame,36,P1,normal,clean,0.5,,none,0.0,2328,0.8,none,none,,,,,,,,
20260207_010334,1770447820319,frame,37,P1,normal,clean,0.5,,none,0.0,2334,0.8,none,none,,,,,,,,
20260207_010334,1770447820355,frame,38,P1,normal,clean,0.5,,none,0.0,2370,0.8,none,none,,,,,,,,
20260207_010334,1770447820385,frame,39,P1,normal,clean,0.5,,none,0.0,2400,0.8,none,none,,,,,,,,
20260207_010334,1770447820416,frame,40,P1,normal,clean,0.5,,none,0.0,2431,0.8,none,none,,,,,,,,
20260207_010334,1770447820447,frame,41,P1,normal,clean,0.5,,none,0.0,2462,0.8,none,none,,,,,,,,
20260207_010334,1770447820509,frame,42,P1,normal,clean,0.5,,none,0.0,2524,0.8,none,none,,,,,,,,
20260207_010334,1770447820540,frame,43,P1,normal,clean,0.5,,none,0.0,2555,0.8,none,none,,,,,,,,
20260207_010334,1770447820571,frame,44,P1,normal,clean,0.5,,none,0.0,2586,0.8,none,none,,,,,,,,
20260207_010334,1770447820603,frame,45,P1,normal,clean,0.5,,none,0.0,2618,0.8,none,none,,,,,,,,
20260207_010334,1770447820633,frame,46,P1,normal,clean,0.5,,none,0.0,2648,0.8,none,none,,,,,,,,
20260207_010334,1770447820664,frame,47,P1,normal,clean,0.5,,none,0.0,2679,0.8,none,none,,,,,,,,
20260207_010334,1770447820687,frame,48,P1,normal,clean,0.5,,none,0.0,2702,0.8,none,none,,,,,,,,
20260207_010334,1770447820726,frame,49,P1,normal,clean,0.5,,none,0.0,2741,0.8,none,none,,,,,,,,
20260207_010334,1770447820758,frame,50,P1,normal,clean,0.5,,none,0.0,2773,0.8,none,none,,,,,,,,
20260207_010334,1770447820788,frame,51,P1,normal,clean,0.5,,none,0.0,2803,0.8,none,none,,,,,,,,
20260207_010334,1770447820819,frame,52,P1,normal,clean,0.5,,none,0.0,2834,0.8,none,none,,,,,,,,
20260207_010334,1770447820850,frame,53,P1,normal,clean,0.5,,none,0.0,2865,0.8,none,none,,,,,,,,
20260207_010334,1770447820896,frame,54,P1,normal,clean,0.5,,none,0.0,2911,0.8,none,none,,,,,,,,
20260207_010334,1770447820926,frame,55,P1,normal,clean,0.5,,none,0.0,2941,0.8,none,none,,,,,,,,
20260207_010334,1770447820957,frame,56,P1,normal,clean,0.5,,none,0.0,2972,0.8,none,none,,,,,,,,
20260207_010334,1770447820990,frame,57,P1,normal,clean,0.5,,none,0.0,3005,0.8,none,none,,,,,,,,
20260207_010334,1770447821037,frame,58,P1,normal,clean,0.5,,none,0.0,3052,0.8,none,none,,,,,,,,
20260207_010334,1770447821068,frame,59,P1,normal,clean,0.5,,none,0.0,3083,0.8,none,none,,,,,,,,
20260207_010334,1770447821098,frame,60,P1,normal,clean,0.5,,none,0.0,3113,0.8,none,none,,,,,,,,
20260207_010334,1770447821128,frame,61,P1,normal,clean,0.5,,none,0.0,3143,0.8,none,none,,,,,,,,
20260207_010334,1770447821159,frame,62,P1,normal,clean,0.5,,none,0.0,3174,0.8,none,none,,,,,,,,
20260207_010334,1770447821190,frame,63,P1,normal,clean,0.5,,none,0.0,3205,0.8,none,none,,,,,,,,
20260207_010334,1770447821221,frame,64,P1,normal,clean,0.5,,none,0.0,3236,0.8,none,none,,,,,,,,
20260207_010334,1770447821252,frame,65,P1,normal,clean,0.5,,none,0.0,3267,0.8,none,none,,,,,,,,
20260207_010334,1770447821299,frame,66,P1,normal,clean,0.5,,none,0.0,3314,0.8,none,none,,,,,,,,
20260207_010334,1770447821330,frame,67,P1,normal,clean,0.5,,none,0.0,3345,0.8,none,none,,,,,,,,
20260207_010334,1770447821360,frame,68,P1,normal,clean,0.5,,none,0.0,3375,0.8,none,none,,,,,,,,
20260207_010334,1770447821392,frame,69,P1,normal,clean,0.5,,none,0.0,3407,0.8,none,none,,,,,,,,
20260207_010334,1770447821423,frame,70,P1,normal,clean,0.5,,none,0.0,3438,0.8,none,none,,,,,,,,
20260207_010334,1770447821455,frame,71,P1,normal,clean,0.5,,none,0.0,3470,0.8,none,none,,,,,,,,
20260207_010334,1770447821492,frame,72,P1,normal,clean,0.5,,none,0.0,3507,0.8,none,none,,,,,,,,
